time	V(c11)	V(c12)	V(c13)	V(c14)	V(c21)	V(c22)	V(c23)	V(c24)	V(c31)	V(c32)	V(c33)	V(c34)	V(c41)	V(c42)	V(c43)	V(c44)	V(vout)	V(vout)*(-I(R1)+I(R2)-I(S1)-I(S8)-I(S12)-I(S16))	-I(R1)+I(R2)-I(S1)-I(S8)-I(S12)-I(S16)
1.000000100000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.592033e+00	-5.065003e-12	-3.181468e-12
1.050000100000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.592033e+00	-5.065003e-12	-3.181468e-12
1.050000200000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.627776e-09	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.592033e+00	-5.065003e-12	-3.181468e-12
1.050000200100000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.519998e-07	-7.827070e-24	-1.040834e-17
1.100000000000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.525086e-07	-7.827070e-24	-1.040834e-17
1.100000100000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.207543e+00	2.637316e-13	2.184034e-13
1.150000100000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.207543e+00	2.637316e-13	2.184034e-13
1.150000200000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.627790e-09	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.207544e+00	2.637316e-13	2.184034e-13
1.150000200100000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.519998e-07	-7.827070e-24	-1.040834e-17
1.150000403300000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.519998e-07	-7.827070e-24	-1.040834e-17
1.200000000000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.525086e-07	-7.827070e-24	-1.040834e-17
1.200000100000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.210715e+00	3.994935e-11	9.487546e-12
1.250000100000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.210715e+00	3.994935e-11	9.487546e-12
1.250000200000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.627776e-09	0.000000e+00	0.000000e+00	0.000000e+00	4.210716e+00	3.994935e-11	9.487546e-12
1.250000200100000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.519998e-07	-7.827070e-24	-1.040834e-17
